Symbol,Name,Sector,Divergence_Index,Divergence_Category
EMN,Eastman Chemical Company,Basic Materials,13.99,Moderate
DPZ,Domino's Pizza Inc.,Consumer Cyclical,15.09,Moderate
DVA,Davita Inc.,Healthcare,25.09,High
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,23.51,High
ZTS,Zoetis Inc.,Healthcare,9.15,Low
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,21.04,High
YUM,"Yum! Brands, Inc.",Consumer Cyclical,17.81,Moderate
XYL,Xylem Inc,Industrials,15.04,Moderate
XEL,"Xcel Energy, Inc.",Utilities,18.0,Moderate
WYNN,Wynn Resorts Ltd,Consumer Cyclical,17.59,Moderate
WTW,Willis Towers Watson Public Limited Companys,Financial Services,19.66,High
WMB,Williams Companies Inc.,Energy,18.6,Moderate
WY,Weyerhaeuser Company,Real Estate,14.14,Moderate
WDC,Western Digital Corp.,Technology,8.01,Low
WELL,Welltower Inc.,Real Estate,7.63,Low
WFC,Wells Fargo & Co.,Financial Services,43.44,High
WEC,"Wec Energy Group, Inc.",Utilities,24.16,High
WM,"Waste Management, Inc.",Industrials,13.02,Low
WMT,Walmart Inc.,Consumer Defensive,15.91,Moderate
WBA,"Walgreens Boots Alliance, Inc",Healthcare,20.44,High
WAB,Wabtec Inc.,Industrials,15.24,Moderate
GWW,"W.W. Grainger, Inc.",Industrials,3.51,Low
WRB,W.R. Berkley Corporation,Financial Services,24.66,High
VMC,Vulcan Materials Company,Basic Materials,12.93,Low
V,Visa Inc.,Financial Services,18.1,Moderate
VRTX,Vertex Pharmaceuticals Inc,Healthcare,27.06,High
VZ,Verizon Communications,Communication Services,18.06,Moderate
VRSK,"Verisk Analytics, Inc.",Industrials,25.49,High
VRSN,Verisign Inc,Technology,19.06,Moderate
VLO,Valero Energy Corporation,Energy,29.92,High
UHS,"Universal Health Services, Inc. Class B",Healthcare,32.7,High
UNH,Unitedhealth Group Incorporated,Healthcare,22.94,High
URI,"United Rentals, Inc.",Industrials,10.84,Low
UPS,"United Parcel Service, Inc. Class B",Industrials,10.11,Low
UAL,"United Airlines Holdings, Inc.",Industrials,19.1,Moderate
UNP,Union Pacific Corp.,Industrials,12.25,Low
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,9.71,Low
UDR,"Udr, Inc.",Real Estate,8.62,Low
USB,U.S. Bancorp,Financial Services,27.19,High
TSN,"Tyson Foods, Inc.",Consumer Defensive,14.55,Moderate
TDG,Transdigm Group Incorporated,Industrials,22.71,High
TT,Trane Technologies Plc,Industrials,5.42,Low
TSCO,Tractor Supply Co,Consumer Cyclical,11.28,Low
TJX,"Tjx Companies, Inc.",Consumer Cyclical,11.46,Low
TMO,"Thermo Fisher Scientific, Inc.",Healthcare,18.69,Moderate
DIS,The Walt Disney Company,Communication Services,15.71,Moderate
TRV,"The Travelers Companies, Inc.",Financial Services,22.58,High
SO,The Southern Company,Utilities,16.48,Moderate
SHW,The Sherwin-Williams Company,Basic Materials,17.58,Moderate
MOS,The Mosaic Company,Basic Materials,13.63,Low
KR,The Kroger Co.,Consumer Defensive,14.76,Moderate
KHC,The Kraft Heinz Company,Consumer Defensive,18.4,Moderate
SJM,The J.M. Smucker Company,Consumer Defensive,18.38,Moderate
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,9.88,Low
HSY,The Hershey Company,Consumer Defensive,16.65,Moderate
HIG,"The Hartford Financial Services Group, Inc.",Financial Services,14.84,Moderate
EL,The Estee Lauder Companies Inc. Class A,Consumer Defensive,10.46,Low
COO,"The Cooper Companies, Inc.",Healthcare,11.06,Low
CI,The Cigna Group,Healthcare,11.55,Low
SCHW,The Charles Schwab Corporation,Financial Services,18.92,Moderate
ALL,The Allstate Corporation,Financial Services,19.97,High
TXT,"Textron, Inc.",Industrials,22.32,High
TXN,Texas Instruments Incorporated,Technology,3.52,Low
TSLA,"Tesla, Inc.",Consumer Cyclical,21.42,High
TFX,Teleflex Incorporated,Healthcare,23.01,High
TGT,Target Corporation,Consumer Defensive,19.56,High
TRGP,Targa Resources Corp.,Energy,26.87,High
TPR,"Tapestry, Inc.",Consumer Cyclical,13.73,Low
TMUS,"T-Mobile Us, Inc.",Communication Services,19.7,High
TROW,T Rowe Price Group Inc,Financial Services,15.83,Moderate
SYY,Sysco Corporation,Consumer Defensive,7.41,Low
SYF,Synchrony Financial,Financial Services,17.16,Moderate
SYK,Stryker Corporation,Healthcare,19.4,Moderate
STLD,Steel Dynamics Inc,Basic Materials,26.19,High
STT,State Street Corporation,Financial Services,26.65,High
SBUX,Starbucks Corp,Consumer Cyclical,25.23,High
SWK,"Stanley Black & Decker, Inc.",Industrials,15.06,Moderate
LUV,Southwest Airlines Co.,Industrials,18.88,Moderate
SNA,Snap-on Incorporated,Industrials,16.03,Moderate
SWKS,Skyworks Solutions Inc,Technology,20.37,High
SPG,"Simon Property Group, Inc.",Real Estate,8.52,Low
SRE,Sempra,Utilities,13.41,Low
STX,Seagate Technology Holdings Plcs,Technology,6.72,Low
SLB,Schlumberger Limited,Energy,13.93,Low
CRM,"Salesforce, Inc.",Technology,13.11,Low
SPGI,S&p Global Inc.,Financial Services,13.89,Low
RCL,Royal Caribbean Group,Consumer Cyclical,15.7,Moderate
ROST,Ross Stores Inc,Consumer Cyclical,16.61,Moderate
ROL,"Rollins, Inc.",Consumer Cyclical,20.06,High
ROK,"Rockwell Automation, Inc.",Industrials,4.52,Low
RHI,Robert Half Inc.,Industrials,14.77,Moderate
RVTY,"Revvity, Inc.",Healthcare,16.55,Moderate
RMD,Resmed Inc.,Healthcare,25.31,High
RSG,Republic Services Inc.,Industrials,20.94,High
RF,Regions Financial Corp.,Financial Services,11.1,Low
REGN,Regeneron Pharmaceuticals Inc,Healthcare,18.73,Moderate
O,Realty Income Corporation,Real Estate,3.82,Low
RJF,"Raymond James Financial, Inc.",Financial Services,24.03,High
RL,Ralph Lauren Corporation,Consumer Cyclical,11.87,Low
DGX,Quest Diagnostics Inc.,Healthcare,25.24,High
PWR,"Quanta Services, Inc.",Industrials,18.64,Moderate
