Group,Favourable_Rate,N,Disparate_Impact,Fairness_Flag,Group_Type
Basic Materials,0.105,19,0.111,DISPARATE (<0.8),Sector
Communication Services,0.571,14,0.6,DISPARATE (<0.8),Sector
Consumer Cyclical,0.549,51,0.576,DISPARATE (<0.8),Sector
Consumer Defensive,0.121,33,0.127,DISPARATE (<0.8),Sector
Energy,0.05,20,0.053,DISPARATE (<0.8),Sector
Financial Services,0.397,63,0.417,DISPARATE (<0.8),Sector
Healthcare,0.431,51,0.453,DISPARATE (<0.8),Sector
Industrials,0.368,57,0.387,DISPARATE (<0.8),Sector
Real Estate,0.952,21,1.0,OK,Sector
Technology,0.83,47,0.871,OK,Sector
Utilities,0.037,27,0.039,DISPARATE (<0.8),Sector
Small,0.418,134,0.942,OK,Size_Group
Mid,0.444,133,1.0,OK,Size_Group
Large,0.406,133,0.915,OK,Size_Group
